Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2020-04-09,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-14,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-15,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-16,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-17,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-20,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-21,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-22,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-23,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-24,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-27,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-28,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-29,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-04-30,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-01,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-04,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-05,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-06,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-07,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-08,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-11,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-12,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-13,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-14,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-15,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-18,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-19,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-20,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-21,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-22,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-25,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-26,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-27,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-28,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-05-29,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-01,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-02,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-03,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-04,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-05,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-08,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-09,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-10,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-11,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-12,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-15,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
2020-06-16,100.0,100.0,100.0,100.0,0.0,0.0,3419308.0
