Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2018-04-13,0.35,0.35,0.35,0.35,0.0,0.0,325115403.0
2018-04-16,0.34,0.34,0.34,0.34,0.0,1.0,325115403.0
2018-04-17,0.35,0.35,0.35,0.35,0.0,1.0,325115403.0
2018-04-18,0.34,0.34,0.34,0.34,0.0,1.0,325115403.0
2018-04-19,0.355,0.355,0.355,0.355,0.0,1.0,325115403.0
2018-04-20,0.345,0.345,0.345,0.345,0.0,1.0,325115403.0
2018-04-23,0.35,0.35,0.35,0.35,0.0,1.0,325115403.0
2018-04-24,0.34,0.34,0.34,0.34,0.0,1.0,325115403.0
2018-04-25,0.35,0.35,0.35,0.35,0.0,1.0,325115403.0
2018-04-26,0.34,0.34,0.34,0.34,0.0,1.0,325115403.0
2018-04-27,0.34,0.34,0.34,0.34,0.0,0.0,325115403.0
2018-04-30,0.345,0.345,0.345,0.345,0.0,1.0,325115403.0
2018-05-01,0.34,0.34,0.34,0.34,0.0,1.0,325115403.0
2018-05-02,0.345,0.345,0.345,0.345,0.0,1.0,325115403.0
2018-05-03,0.35,0.35,0.35,0.35,0.0,1.0,325115403.0
2018-05-04,0.35,0.35,0.35,0.35,0.0,0.0,325115403.0
2018-05-07,0.35,0.35,0.35,0.35,0.0,0.0,325115403.0
2018-05-08,0.36,0.36,0.36,0.36,0.0,1.0,325115403.0
2018-05-09,0.38,0.38,0.38,0.38,0.0,1.0,325115403.0
2018-05-10,0.38,0.38,0.38,0.38,0.0,0.0,325115403.0
2018-05-11,0.39498,0.39498,0.385,0.40496,1.0,208.0,325115403.0
2018-05-14,0.395,0.395,0.395,0.395,0.0,1.0,325115403.0
2018-05-15,0.395,0.395,0.395,0.395,0.0,0.0,325115403.0
2018-05-16,0.375,0.375,0.375,0.375,0.0,1.0,325115403.0
2018-05-17,0.365,0.365,0.365,0.365,0.0,1.0,325115403.0
2018-05-18,0.365,0.365,0.365,0.365,0.0,0.0,325115403.0
2018-05-21,0.39,0.39,0.39,0.39,0.0,1.0,325115403.0
2018-05-22,0.39,0.39,0.39,0.39,0.0,0.0,325115403.0
2018-05-23,0.39,0.39,0.39,0.39,0.0,0.0,325115403.0
2018-05-24,0.39009,0.39009,0.39009,0.39009,1.0,52.0,325115403.0
2018-05-25,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-05-28,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-05-29,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-05-30,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-05-31,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-01,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-04,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-05,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-06,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-07,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-08,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-11,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-12,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-13,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-14,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-15,0.39009,0.39009,0.39009,0.39009,0.0,0.0,325115403.0
2018-06-18,0.36007,0.36007,0.36007,0.36007,1.0,52.0,325115403.0
2018-06-19,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-20,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-21,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-22,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-25,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-26,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-27,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-28,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-06-29,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-02,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-03,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-04,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-05,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-06,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-09,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-10,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-11,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-12,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-13,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-16,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-17,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-18,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-19,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-20,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-23,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-24,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-25,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-26,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-27,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-30,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-07-31,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-01,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-02,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-03,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-06,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-07,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-08,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-09,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-10,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-13,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-14,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-15,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-16,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-17,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-20,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-21,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-22,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-23,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-24,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-27,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-28,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-29,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-30,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-08-31,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-03,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-04,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-05,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-06,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-07,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-10,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-11,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-12,0.36007,0.36007,0.36007,0.36007,0.0,0.0,325115403.0
2018-09-13,0.20995,0.20995,0.20995,0.20995,1.0,57.0,325115403.0
2018-09-14,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-17,0.20995,0.20995,0.20995,0.20995,1.0,57.0,325115403.0
2018-09-18,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-19,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-20,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-21,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-24,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-25,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-26,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-27,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-09-28,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-01,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-02,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-03,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-04,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-05,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-08,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-09,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-10,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-11,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-12,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-15,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-16,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-17,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-18,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-19,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
2018-10-22,0.20995,0.20995,0.20995,0.20995,0.0,0.0,325115403.0
