Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2007-03-15,0.1,0.1,0.1,0.1,0.0,0.0,4258518.0
2007-03-16,0.1,0.1,0.1,0.1,0.0,0.0,4258518.0
2007-03-19,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-20,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-21,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-22,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-23,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-26,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-27,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-28,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-29,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-03-30,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-02,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-03,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-04,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-05,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-06,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-09,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-10,0.1,0.1,0.1,0.1,0.0,0.0,14049754.0
2007-04-11,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-12,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-13,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-16,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-17,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-18,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-19,0.1,0.1,0.1,0.1,0.0,0.0,14801784.0
2007-04-20,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-04-23,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-04-24,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-04-25,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-04-26,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-04-27,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-04-30,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-01,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-02,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-03,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-04,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-06,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-07,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-08,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-09,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-10,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-11,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-14,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-15,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-16,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-17,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-18,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-21,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-22,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
2007-05-23,0.1,0.1,0.1,0.1,0.0,0.0,16148351.0
