datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2010-11-17,,,,,,,,-973130.88,,,,,,
2011-05-25,,,,,,,31737452.49,-8878819.5,,,,,,
2013-06-27,,,,,,,31737452.49,-8878819.5,,,,,,
2013-06-28,,,,,,,-235679.05,-3524724.8,,,,,,
2014-06-25,,,,,,,-198115.28,-4078879.53,,,,,,
2015-06-26,,,,,,,-198115.28,-105832377.68,,,,,,
2016-06-30,,,,,,,-198115.28,-11947380.16,,,,,,
2017-06-29,,,,,,,-198115.28,-2399494.4,,,12159.6,,,
2018-06-29,,,,,,,-198115.28,-1030931.44,,,12159.6,,,
2019-06-27,,,,,,,-198115.28,-1455665.16,,,12159.6,,,
2020-07-01,,,,,,,-198115.28,-1419404.4,,,12159.6,,,
2021-06-30,,,,,,,412492.68,-1333287.51,,,12159.6,,,
2022-07-01,,,,,,,1126464.6,-1402906.7,,,12159.6,,,
