Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2003-01-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-22,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-29,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-30,100.0,100.0,100.0,100.0,0.0,0.0
2003-01-31,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-05,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-19,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-26,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-02-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-05,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-18,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-19,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-20,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-21,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-26,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-27,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-03-31,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-01,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-03,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-04,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-08,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-10,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-11,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-15,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-17,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-22,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-23,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-24,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-25,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-28,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-29,100.0,100.0,100.0,100.0,0.0,0.0
2003-04-30,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-01,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-02,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-06,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-07,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-08,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-09,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-12,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-13,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-14,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-15,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-16,100.0,100.0,100.0,100.0,0.0,0.0
2003-05-19,100.0,100.0,100.0,100.0,0.0,0.0
