Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
1984-04-16,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-17,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-18,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-19,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-20,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-23,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-24,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-25,0.069957,0.069957,0.069957,0.069957,0.0,0.0
1984-04-26,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-04-27,0.062593,0.062593,0.062593,0.062593,0.0,1.0
1984-04-30,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-05-01,0.059832,0.059832,0.059832,0.059832,0.0,1.0
1984-05-02,0.073639,0.073639,0.073639,0.073639,0.0,1.0
1984-05-03,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-04,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-07,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-08,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-09,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-10,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-11,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-14,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-15,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-16,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-17,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-18,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-21,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-22,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-23,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-24,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-25,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-28,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-29,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-05-30,0.071798,0.071798,0.071798,0.071798,0.0,1.0
1984-05-31,0.071798,0.071798,0.071798,0.071798,0.0,0.0
1984-06-01,0.068116,0.068116,0.068116,0.068116,0.0,1.0
1984-06-04,0.066275,0.066275,0.066275,0.066275,0.0,1.0
1984-06-05,0.066275,0.066275,0.066275,0.066275,0.0,0.0
1984-06-06,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-06-07,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-08,0.069037,0.069037,0.069037,0.069037,0.0,1.0
1984-06-11,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-06-12,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-06-13,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-06-14,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-06-15,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-18,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-19,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-20,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-21,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-22,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-25,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-26,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-27,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-28,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-06-29,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-02,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-03,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-04,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-05,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-06,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-09,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-10,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-11,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-12,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-13,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-16,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-17,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-18,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-19,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-20,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-23,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-24,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-25,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-26,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-27,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-30,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-07-31,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-01,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-02,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-03,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-06,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-07,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-08,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-09,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-10,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-13,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-14,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-15,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-16,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-17,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-08-20,0.065355,0.065355,0.065355,0.065355,0.0,1.0
1984-08-21,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-22,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-23,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-24,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-27,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-28,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-29,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-30,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-08-31,0.065355,0.065355,0.065355,0.065355,0.0,0.0
1984-09-03,0.064434,0.064434,0.064434,0.064434,0.0,1.0
1984-09-04,0.064434,0.064434,0.064434,0.064434,0.0,0.0
1984-09-05,0.064434,0.064434,0.064434,0.064434,0.0,0.0
1984-09-06,0.062593,0.062593,0.062593,0.062593,0.0,1.0
1984-09-07,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-10,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-11,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-09-12,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-09-13,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-09-14,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-09-17,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-09-18,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-09-19,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-09-20,0.062593,0.062593,0.062593,0.062593,0.0,1.0
1984-09-21,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-24,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-25,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-26,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-27,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-09-28,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-10-01,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-10-02,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-10-03,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-10-04,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-10-05,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1984-10-08,0.073639,0.073639,0.073639,0.073639,0.0,1.0
1984-10-09,0.069037,0.069037,0.069037,0.069037,0.0,1.0
1984-10-10,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-10-11,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-10-12,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-10-15,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-10-16,0.069037,0.069037,0.069037,0.069037,0.0,1.0
1984-10-17,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-10-18,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-10-19,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-10-22,0.07456,0.07456,0.07456,0.07456,0.0,1.0
1984-10-23,0.07456,0.07456,0.07456,0.07456,0.0,0.0
1984-10-24,0.073639,0.073639,0.073639,0.073639,0.0,1.0
1984-10-25,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-10-26,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-10-29,0.073639,0.073639,0.073639,0.073639,0.0,0.0
1984-10-30,0.071798,0.071798,0.071798,0.071798,0.0,1.0
1984-10-31,0.071798,0.071798,0.071798,0.071798,0.0,0.0
1984-11-01,0.071798,0.071798,0.071798,0.071798,0.0,0.0
1984-11-02,0.071798,0.071798,0.071798,0.071798,0.0,0.0
1984-11-05,0.071798,0.071798,0.071798,0.071798,0.0,0.0
1984-11-06,0.069957,0.069957,0.069957,0.069957,0.0,1.0
1984-11-07,0.069037,0.069037,0.069037,0.069037,0.0,1.0
1984-11-08,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-11-09,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-11-12,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-11-13,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-11-14,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-11-15,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-11-16,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-19,0.069037,0.069037,0.069037,0.069037,0.0,1.0
1984-11-20,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-11-21,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-22,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-23,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-26,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-27,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-28,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-29,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-11-30,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-03,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-04,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-05,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-06,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-07,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-10,0.069037,0.069037,0.069037,0.069037,0.0,1.0
1984-12-11,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-12-12,0.069037,0.069037,0.069037,0.069037,0.0,0.0
1984-12-13,0.067196,0.067196,0.067196,0.067196,0.0,1.0
1984-12-14,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-17,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-18,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-19,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-20,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-21,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-24,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-25,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-26,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-27,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-28,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1984-12-31,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-01,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-02,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-03,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-04,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-07,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-08,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-09,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-10,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-11,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-14,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-15,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-16,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-17,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-18,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-21,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-22,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-23,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-24,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-25,0.067196,0.067196,0.067196,0.067196,0.0,0.0
1985-01-28,0.062593,0.062593,0.062593,0.062593,0.0,1.0
1985-01-29,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1985-01-30,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1985-01-31,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1985-02-01,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1985-02-04,0.062593,0.062593,0.062593,0.062593,0.0,0.0
1985-02-05,0.059832,0.059832,0.059832,0.059832,0.0,1.0
1985-02-06,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-07,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-08,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-11,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-12,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-13,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-14,0.059832,0.059832,0.059832,0.059832,0.0,0.0
1985-02-15,0.057991,0.057991,0.057991,0.057991,0.0,1.0
1985-02-18,0.057991,0.057991,0.057991,0.057991,0.0,0.0
1985-02-19,0.057991,0.057991,0.057991,0.057991,0.0,0.0
1985-02-20,0.057991,0.057991,0.057991,0.057991,0.0,0.0
1985-02-21,0.057991,0.057991,0.057991,0.057991,0.0,0.0
1985-02-22,0.055229,0.055229,0.055229,0.055229,0.0,1.0
1985-02-25,0.055229,0.055229,0.055229,0.055229,0.0,0.0
1985-02-26,0.055229,0.055229,0.055229,0.055229,0.0,0.0
1985-02-27,0.053388,0.053388,0.053388,0.053388,0.0,1.0
1985-02-28,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-01,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-04,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-05,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-06,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-07,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-08,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-11,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-12,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-13,0.053388,0.053388,0.053388,0.053388,0.0,0.0
1985-03-14,0.048786,0.048786,0.048786,0.048786,0.0,1.0
1985-03-15,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-18,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-19,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-20,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-21,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-22,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-25,0.046024,0.046024,0.046024,0.046024,0.0,1.0
1985-03-26,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-03-27,0.048786,0.048786,0.048786,0.048786,0.0,1.0
1985-03-28,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-03-29,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-04-01,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-04-02,0.046024,0.046024,0.046024,0.046024,0.0,1.0
1985-04-03,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-04,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-05,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-08,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-09,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-10,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-11,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-12,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-15,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-04-16,0.044183,0.044183,0.044183,0.044183,0.0,1.0
1985-04-17,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-18,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-19,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-22,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-23,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-24,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-25,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-04-26,0.041422,0.041422,0.041422,0.041422,0.0,1.0
1985-04-29,0.044183,0.044183,0.044183,0.044183,0.0,1.0
1985-04-30,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-01,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-02,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-03,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-06,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-07,0.046024,0.046024,0.046024,0.046024,0.0,1.0
1985-05-08,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-09,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-10,0.044183,0.044183,0.044183,0.044183,0.0,1.0
1985-05-13,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-14,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-15,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-16,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-17,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-20,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-21,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-22,0.044183,0.044183,0.044183,0.044183,0.0,0.0
1985-05-23,0.046024,0.046024,0.046024,0.046024,0.0,1.0
1985-05-24,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-27,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-28,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-29,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-30,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-05-31,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-06-03,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-06-04,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-06-05,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-06-06,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-06-07,0.048786,0.048786,0.048786,0.048786,0.0,1.0
1985-06-10,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-11,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-12,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-13,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-14,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-17,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-18,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-19,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-20,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-21,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-24,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-06-25,0.046945,0.046945,0.046945,0.046945,0.0,1.0
1985-06-26,0.046945,0.046945,0.046945,0.046945,0.0,0.0
1985-06-27,0.048786,0.048786,0.048786,0.048786,0.0,1.0
1985-06-28,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-07-01,0.048786,0.048786,0.048786,0.048786,0.0,0.0
1985-07-02,0.046024,0.046024,0.046024,0.046024,0.0,1.0
1985-07-03,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-04,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-05,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-08,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-09,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-10,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-11,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-12,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-15,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-16,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-17,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-18,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-19,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-22,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-23,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-24,0.046024,0.046024,0.046024,0.046024,0.0,0.0
1985-07-25,0.046024,0.046024,0.046024,0.046024,0.0,0.0
