Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2015-06-12,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-15,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-16,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-17,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-18,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-19,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-22,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-23,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-24,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-25,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-26,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-29,95.0,95.0,95.0,95.0,0.0,0.0
2015-06-30,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-01,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-02,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-03,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-06,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-07,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-08,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-09,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-10,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-13,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-14,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-15,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-16,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-17,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-20,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-21,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-22,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-23,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-24,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-27,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-28,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-29,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-30,95.0,95.0,95.0,95.0,0.0,0.0
2015-07-31,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-03,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-04,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-05,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-06,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-07,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-10,95.0,95.0,95.0,95.0,0.0,0.0
2015-08-11,95.0,95.0,95.0,95.0,0.0,0.0
