Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
2018-03-26,,,0.55,,,
2018-03-27,,,0.55,,,
2018-03-28,,,0.55,,,
2018-03-29,,,0.55,,,
2018-04-03,,,0.55,,,
2018-04-04,,,0.55,,,
2018-04-05,,,0.65,,,
2018-04-06,,,0.65,,,
2018-04-09,,,0.65,,,
2018-04-10,0.6,0.55,0.65,0.65,2,65073
2018-04-11,,,0.65,,,
2018-04-12,,,0.65,,,
2018-04-13,,,0.65,,,
2018-04-16,0.55,0.55,0.7,0.65,1,6910
2018-04-17,,,0.7,,,
2018-04-18,,,0.65,,,
2018-04-19,,,0.65,,,
2018-04-20,0.55,0.5,0.65,0.65,5,417732
2018-04-23,0.56,0.55,0.65,0.65,3,448500
2018-04-24,,,0.65,,,
2018-04-25,,,0.65,,,
2018-04-26,,,0.65,,,
2018-04-27,,,0.65,,,
2018-04-30,,,0.65,,,
2018-05-01,0.65,0.65,0.65,0.65,3,189143
2018-05-02,,,0.7,,,
2018-05-03,,,0.7,,,
2018-05-04,,,0.7,,,
2018-05-08,,,0.7,,,
2018-05-09,,,0.7,,,
2018-05-10,,,0.7,,,
2018-05-11,,,0.7,,,
2018-05-14,,,0.7,,,
2018-05-15,,,0.65,,,
2018-05-16,,,0.65,,,
2018-05-17,,,0.65,,,
2018-05-18,0.64,0.64,0.68,0.65,1,265302
2018-05-21,,,0.68,,,
2018-05-22,,,0.7,,,
2018-05-23,0.7,0.7,0.7,0.7,1,2277
2018-05-24,,,0.7,,,
2018-05-25,0.65,0.64,0.7,0.7,2,32995
2018-05-29,,,0.7,,,
2018-05-30,,,0.7,,,
2018-05-31,,,0.7,,,
2018-06-01,,,0.7,,,
2018-06-04,,,0.7,,,
2018-06-05,0.73,0.73,0.73,0.7,1,5
2018-06-06,,,0.7,,,
2018-06-07,,,0.7,,,
2018-06-08,,,0.7,,,
2018-06-11,,,0.7,,,
2018-06-12,,,0.7,,,
2018-06-13,,,0.7,,,
2018-06-14,,,0.7,,,
2018-06-15,,,0.7,,,
2018-06-18,,,0.7,,,
2018-06-19,,,0.7,,,
2018-06-20,,,0.7,,,
2018-06-21,,,0.7,,,
2018-06-22,,,0.7,,,
2018-06-25,,,0.65,,,
2018-06-26,,,0.65,,,
2018-06-27,,,0.65,,,
2018-06-28,,,0.65,,,
2018-06-29,,,0.65,,,
2018-07-02,,,0.65,,,
2018-07-03,,,0.65,,,
2018-07-04,,,0.65,,,
2018-07-05,,,0.65,,,
2018-07-06,,,0.65,,,
2018-07-09,,,0.65,,,
2018-07-10,,,0.65,,,
2018-07-11,,,0.7,,,
2018-07-12,,,0.7,,,
2018-07-13,,,0.7,,,
2018-07-16,,,0.7,,,
2018-07-17,,,0.7,,,
2018-07-18,,,0.7,,,
2018-07-19,,,0.7,,,
2018-07-20,,,0.7,,,
2018-07-23,,,0.7,,,
2018-07-24,,,0.7,,,
2018-07-25,,,0.7,,,
2018-07-26,,,0.7,,,
2018-07-27,,,0.7,,,
2018-07-30,,,0.7,,,
2018-07-31,,,0.7,,,
2018-08-01,,,0.7,,,
2018-08-02,,,0.7,,,
2018-08-03,,,0.7,,,
2018-08-06,,,0.7,,,
2018-08-07,,,0.7,,,
2018-08-08,,,0.7,,,
2018-08-09,,,0.7,,,
2018-08-10,,,0.7,,,
2018-08-13,,,0.7,,,
2018-08-14,,,0.7,,,
2018-08-15,,,0.65,,,
2018-08-16,,,0.65,,,
2018-08-17,,,0.65,,,
2018-08-20,,,0.65,,,
2018-08-21,,,0.7,,,
2018-08-22,,,0.7,,,
2018-08-23,,,0.7,,,
2018-08-24,0.61,0.6,0.65,0.7,2,44292
2018-08-28,,,0.65,,,
2018-08-29,,,0.65,,,
2018-08-30,,,0.65,,,
2018-08-31,,,0.65,,,
2018-09-03,,,0.65,,,
2018-09-04,,,0.65,,,
2018-09-05,,,0.65,,,
2018-09-06,,,0.65,,,
2018-09-07,0.55,0.55,0.65,0.65,1,2474
2018-09-10,,,0.65,,,
2018-09-11,,,0.65,,,
2018-09-12,,,0.65,,,
2018-09-13,,,0.65,,,
2018-09-14,,,0.6,,,
2018-09-17,,,0.6,,,
2018-09-18,,,0.6,,,
2018-09-19,,,0.6,,,
2018-09-20,,,0.6,,,
2018-09-21,,,0.6,,,
2018-09-24,,,0.6,,,
2018-09-25,,,0.6,,,
2018-09-26,,,0.6,,,
2018-09-27,,,0.6,,,
2018-09-28,,,0.6,,,
2018-10-01,,,0.6,,,
2018-10-02,,,0.6,,,
2018-10-03,0.6,0.6,0.6,0.6,1,2766
2018-10-04,,,0.6,,,
2018-10-05,,,0.6,,,
2018-10-08,,,0.6,,,
2018-10-09,,,0.6,,,
2018-10-10,,,0.6,,,
2018-10-11,,,0.6,,,
2018-10-12,0.6,0.6,0.6,0.6,2,7234
2018-10-15,0.6,0.55,0.6,0.6,2,65325
2018-10-16,0.6,0.6,0.6,0.6,2,62498
2018-10-17,,,0.6,,,
2018-10-18,,,0.6,,,
2018-10-19,,,0.6,,,
2018-10-22,,,0.6,,,
2018-10-23,,,0.6,,,
2018-10-24,,,0.6,,,
2018-10-25,,,0.6,,,
2018-10-26,,,0.6,,,
2018-10-29,,,0.6,,,
2018-10-30,,,0.6,,,
2018-10-31,,,0.6,,,
2018-11-01,,,0.6,,,
2018-11-02,,,0.6,,,
2018-11-05,,,0.6,,,
2018-11-06,,,0.6,,,
2018-11-07,,,0.6,,,
2018-11-08,,,0.6,,,
2018-11-09,,,0.6,,,
2018-11-12,0.6,0.6,0.6,0.6,1,7502
2018-11-13,,,0.6,,,
2018-11-14,,,0.6,,,
2018-11-15,,,0.6,,,
2018-11-16,,,0.6,,,
2018-11-19,,,0.6,,,
2018-11-20,,,0.6,,,
2018-11-21,,,0.6,,,
2018-11-22,,,0.6,,,
2018-11-23,,,0.6,,,
2018-11-26,,,0.6,,,
2018-11-27,,,0.6,,,
2018-11-28,,,0.6,,,
2018-11-29,,,0.6,,,
2018-11-30,,,0.6,,,
