Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2018-01-29,30.6782,30.6782,,,1.0,339.0,25832895.0
2018-01-31,28.564,28.564,,,1.0,297.0,25832895.0
2018-02-02,27.276,27.2,,,3.0,800.0,25832895.0
2018-02-05,26.667,26.667,,,1.0,726.0,25832895.0
2018-02-07,26.55,26.55,,,1.0,166.0,25832895.0
2018-04-04,21.163,21.163,,,1.0,144.0,26008294.0
2018-04-09,21.255,21.255,,,1.0,100.0,26008294.0
2018-04-13,,,21.77,,,,26008294.0
2018-04-16,,,21.35,,,,26008294.0
2018-04-17,,,21.72,,,,26008294.0
2018-04-18,,,21.83,,,,26008294.0
2018-04-19,,,21.89,,,,26008294.0
2018-04-20,,,21.69,,,,26008294.0
2018-04-23,,,21.55,,,,26008294.0
2018-04-24,,,21.37,,,,26008294.0
2018-04-25,,,21.33,,,,26008294.0
2018-04-26,,,21.06,,,,26008294.0
2018-04-27,,,21.39,,,,26009357.0
2018-04-30,,,21.28,,,,26009357.0
2018-05-01,,,20.84,,,,26009357.0
2018-05-02,,,21.17,,,,26009357.0
2018-05-03,,,21.23,,,,26009357.0
2018-05-04,,,20.95,,,,26009357.0
2018-05-08,,,22.8,,,,26009357.0
2018-05-09,,,23.21,,,,26009357.0
2018-05-10,,,23.95,,,,26009357.0
2018-05-11,,,23.95,,,,26009357.0
2018-05-14,,,23.88,,,,26009357.0
2018-05-15,,,24.08,,,,26009357.0
2018-05-16,,,24.07,,,,26009357.0
2018-05-17,,,24.25,,,,26009357.0
2018-05-18,,,24.14,,,,26009357.0
2018-05-21,,,24.28,,,,26009357.0
2018-05-22,,,24.71,,,,26009357.0
2018-05-30,25.06118,25.06118,,,1.0,100.0,26009357.0
2018-06-07,25.0,25.0,,,1.0,31749.0,26009357.0
2018-06-08,24.67,24.49,,,2.0,350.0,26009357.0
2018-07-27,25.44994,25.44994,,,1.0,30.0,26095635.0
2018-07-31,25.28006,25.28006,,,1.0,151.0,26095635.0
2018-08-03,32.30834,31.48,,,2.0,3793.0,26095635.0
2018-08-10,31.80005,31.80005,,,1.0,39.0,26095635.0
2018-08-13,32.2292,32.2292,,,1.0,38.0,26095635.0
2018-08-23,36.98857,36.98857,,,1.0,900.0,26095635.0
2018-09-07,34.56957,34.56957,,,1.0,557.0,26095635.0
2018-09-17,36.55995,36.55995,,,1.0,107.0,26095635.0
2018-10-08,31.24,31.07,,,7.0,1207.0,26095635.0
2018-11-02,22.70131,22.70131,,,1.0,144.0,26708202.0
2018-11-15,22.20999,22.20999,,,1.0,5.0,26708202.0
2018-11-23,21.04,21.04,,,1.0,212.0,26708202.0
2018-11-30,21.87,21.46,21.46,21.75,132.0,132.0,26708202.0
2019-01-04,18.177,18.177,,,1.0,348.0,26516912.0
2019-01-09,19.21897,19.21897,,,1.0,665.0,26516912.0
2019-01-15,17.43004,17.43004,,,1.0,313.0,26516912.0
2019-02-01,19.87,19.87,,,1.0,343.0,26516912.0
2019-02-27,17.94994,17.94994,,,1.0,416.0,26520482.0
2019-03-07,16.7492,16.7492,,,1.0,30.0,26616707.0
2019-03-14,16.96934,16.96934,,,1.0,559.0,26616707.0
2019-04-23,17.19972,17.19972,,,1.0,720.0,26655506.0
2019-05-01,17.93994,17.93994,,,1.0,28.0,26655506.0
2019-05-03,18.42919,18.42919,,,1.0,140.0,26660960.0
2019-05-09,24.05427,23.82361,,,4.0,1928.0,26660960.0
2019-05-14,23.74976,23.74976,,,1.0,36.0,26660960.0
2019-06-07,23.65935,23.65145,,,2.0,492.0,26660960.0
2019-06-17,23.69954,23.69954,,,1.0,70.0,26799355.0
2019-06-25,23.75087,23.75087,,,1.0,146.0,26799355.0
2019-07-23,23.8505,23.8505,,,1.0,26.0,26799355.0
